ShapeSize,#input,#output,#op,RealNdpxCost
6291456,6,5,10,4007986
6291456,5,4,8,3087633
1572864,6,5,10,967761
6291456,4,3,6,2395780
1572864,4,3,6,579519
1572864,3,2,4,385381
1572864,3,2,4,401800
24576,2,1,1,3220
1572864,2,1,3,84098
32768,8,1,20,3926
1572864,4,1,4,225472
1572864,4,1,4,216845
46881792,8,3,14,7578208
1572864,4,1,4,225030
24576,2,1,1,3298
1572864,4,1,4,224744
24576,2,1,1,3221
24576,2,1,1,3221
24576,2,1,1,3221
24576,2,1,1,3221
24576,2,1,1,3220
24576,2,1,1,3220
24576,2,1,1,3221
24576,2,1,1,3220
24576,2,1,1,3221
24576,2,1,1,3220
1572864,4,1,4,243458
1572864,2,1,3,84382
1572864,4,1,4,224593
1572864,4,1,4,224951
1572864,4,1,4,245400
1572864,4,1,4,224700
64,3,1,4,361
1572864,2,1,3,84096
1572864,2,1,3,84374
1572864,4,1,4,245776
1536,3,1,6,537
1572864,4,1,4,215723
1572864,4,1,4,216472
1572864,2,1,3,84429
1572864,4,1,4,223793
1572864,4,1,4,216223
1572864,2,1,3,84727
1572864,4,1,4,224568
1572864,2,1,3,84020
1572864,4,1,4,216261
1572864,4,1,4,224221
24576,2,1,1,3220
1572864,4,1,4,220112
24576,2,1,1,3222
24576,2,1,1,3221
24576,2,1,1,3222
24576,2,1,1,3298
24576,2,1,1,3222
24576,2,1,1,3221
24576,2,1,1,3223
1572864,2,1,3,84470
1572864,4,1,4,223961
24576,2,1,1,3220
1572864,2,1,3,84483
1572864,4,1,4,218615
1572864,4,1,4,215192
1572864,2,1,3,84282
1572864,2,1,3,84658
1572864,4,1,4,216099
64,3,1,5,391
1572864,4,1,4,217004
24576,2,1,1,3222
24576,2,1,1,3222
24576,2,1,1,3222
24576,2,1,1,3286
24576,2,1,1,3222
24576,2,1,1,3221
24576,2,1,1,3222
24576,2,1,1,3220
24576,2,1,1,3220
24576,2,1,1,3220
24576,2,1,1,3222
24576,2,1,1,3222
24576,2,1,1,3220
24576,2,1,1,3223
24576,2,1,1,3222
233472,1,1,1,10801
6291456,4,1,26,438169
12582912,4,1,15,723087
12582912,4,1,15,722801
12582912,5,1,16,809218
12582912,5,1,16,808956
6291456,4,1,26,496398
1572864,2,1,11,83492
1572864,2,1,11,82371
4718592,36,24,106,6106195
6291456,4,1,26,497040
12582912,5,1,16,808386
12582912,4,1,15,722429
4718592,36,24,106,6103401
1572864,2,1,11,82038
1572864,2,1,11,82512
12582912,4,1,15,779060
6291456,4,1,26,438725
12582912,5,1,16,753696
6291456,4,1,26,438859
6291456,4,1,26,440008
12582912,4,1,15,724388
1572864,2,1,11,82143
6291456,4,1,26,470042
1572864,2,1,11,82867
12582912,4,1,15,723464
1572864,2,1,11,82974
12582912,5,1,16,808392
12582912,4,1,15,720900
12582912,5,1,16,808333
12582912,5,1,16,754275
6291456,4,1,26,465986
1572864,7,1,23,158303
6291456,4,1,15,359175
6291456,4,1,15,364412
1572864,2,1,11,83544
12582912,4,1,15,722004
12582912,5,1,16,745716
6291456,4,1,26,462441
1572864,2,1,11,83123
12582912,4,1,15,735970
12582912,5,1,16,787958
6291456,4,1,15,359033
6291456,4,1,15,359427
